        FID  IID    SOL           C1           C2 
  HGDP00001    1      0     -0.01615   -0.0423084 
  HGDP00003    1      0   -0.0143767   -0.0424569 
  HGDP00005    1      0   -0.0130991   -0.0419892 
  HGDP00007    1      0   -0.0159717   -0.0444791 
  HGDP00009    1      0   -0.0159496   -0.0441724 
  HGDP00011    1      0   -0.0141869   -0.0441558 
  HGDP00013    1      0   -0.0425943   -0.0109129 
  HGDP00015    1      0   -0.0163396   -0.0447972 
  HGDP00017    1      0   -0.0147003   -0.0439236 
  HGDP00019    1      0   -0.0115596   -0.0404854 
  HGDP00021    1      0   -0.0195079   -0.0413026 
  HGDP00023    1      0   -0.0150129   -0.0444105 
  HGDP00025    1      0   -0.0143387    -0.044585 
  HGDP00027    1      0   -0.0168178   -0.0403556 
  HGDP00029    1      0   -0.0299281   -0.0217112 
  HGDP00031    1      0   -0.0138453   -0.0421321 
  HGDP00033    1      0   -0.0138455   -0.0443774 
  HGDP00035    1      0   -0.0153638   -0.0398245 
  HGDP00037    1      0   -0.0143262    -0.044027 
  HGDP00039    1      0   -0.0145257   -0.0362595 
  HGDP00041    1      0    -0.012158   -0.0442559 
  HGDP00043    1      0   -0.0194933   -0.0390033 
  HGDP00045    1      0   -0.0148192   -0.0447645 
  HGDP00047    1      0   -0.0209978   -0.0391622 
  HGDP00049    1      0    -0.017178   -0.0432125 
  HGDP00052    1      0   -0.0136857    -0.043204 
  HGDP00054    1      0   -0.0158177   -0.0472222 
  HGDP00056    1      0  -0.00903712   -0.0381121 
  HGDP00057    1      0   -0.0333986   -0.0218103 
  HGDP00058    1      0   -0.0119264   -0.0415932 
  HGDP00060    1      0   -0.0303282   -0.0263921 
  HGDP00062    1      0   -0.0173613   -0.0439653 
  HGDP00064    1      0    -0.015135   -0.0447484 
  HGDP00066    1      0   -0.0147603   -0.0432811 
  HGDP00068    1      0  -0.00803008   -0.0387982 
  HGDP00070    1      0  0.000559978   -0.0267123 
  HGDP00072    1      0    -0.015853   -0.0431954 
  HGDP00074    1      0   -0.0136315   -0.0443261 
  HGDP00076    1      0   -0.0263558   -0.0323389 
  HGDP00078    1      0   -0.0204102   -0.0403778 
  HGDP00080    1      0   -0.0166839   -0.0436189 
  HGDP00082    1      0   -0.0118064   -0.0441235 
  HGDP00084    1      0   -0.0116664   -0.0444488 
  HGDP00086    1      0   -0.0148482   -0.0455859 
  HGDP00088    1      0   -0.0140144   -0.0433118 
  HGDP00090    1      0   -0.0128539   -0.0381803 
  HGDP00092    1      0   -0.0118053   -0.0390489 
  HGDP00094    1      0   -0.0134959   -0.0411259 
  HGDP00096    1      0   -0.0140822   -0.0405863 
  HGDP00098    1      0   -0.0166305    -0.037303 
  HGDP00099    1      0    0.0288663  -0.00706796 
  HGDP00100    1      0    0.0187945   -0.0162834 
  HGDP00102    1      0    0.0272484  -0.00661311 
  HGDP00103    1      0    0.0290951  -0.00418762 
  HGDP00104    1      0    0.0163244   -0.0169553 
  HGDP00105    1      0     0.028348  -0.00435827 
  HGDP00106    1      0    0.0249421  -0.00899133 
  HGDP00108    1      0    0.0271632  -0.00628537 
  HGDP00109    1      0    0.0268826   -0.0073343 
  HGDP00110    1      0    0.0234068  -0.00927416 
  HGDP00112    1      0    0.0307506  -0.00247863 
  HGDP00113    1      0    0.0257164   -0.0082163 
  HGDP00115    1      0    0.0284426   -0.0066386 
